Name,Financial Year,Month,All India Total ,All India Public ,All India Private,All India Urban ,All India Rural,A & N IslandsTotal ,A & N Islands Public [A],A & N Islands Private [B],A & N Islands Urban [C],A & N Islands Rural [D],Andhra Pradesh Total [(A+B) or (C+D)],Andhra Pradesh Public [A],Andhra Pradesh Private [B],Andhra Pradesh Urban [C],Andhra Pradesh Rural [D],Arunachal Pradesh Total [(A+B) or (C+D)],Arunachal Pradesh Public [A],Arunachal PradeshPrivate [B],Arunachal Pradesh Urban [C],Arunachal Pradesh Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
,2019-2020,march,32788,,,,,0,,,,,4859,,,,,0,,,,,0,,,,,400,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,430,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,5500,,,,,,,,,,,,,,,,,,,,497,,,,,0,,,,,0,,,,,0,,,,,0,,,,,10,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,10009,,,,,0,,,,,0,,,,,11083,,,,,0,,,,,,,,,
,2019-2020,march,228506,,,,,0,,,,,8388,,,,,0,,,,,192,,,,,0,,,,,,,,,,0,,,,,40,,,,,635,,,,,0,,,,,74,,,,,27628,,,,,150,,,,,16,,,,,3500,,,,,120,,,,,1258,,,,,0,,,,,,,,,,,,,,,,,,,,7083,,,,,29775,,,,,1000,,,,,660,,,,,12,,,,,111,,,,,84805,,,,,2564,,,,,2757,,,,,136,,,,,0,,,,,37144,,,,,919,,,,,3500,,,,,15699,,,,,0,,,,,340,,,,
,2019-2020,march,1663864,,,,,2647,,,,,4197,,,,,0,,,,,704,,,,,1775,,,,,0,,,,,42,,,,,73,,,,,10276,,,,,0,,,,,2001,,,,,57585,,,,,296,,,,,7173,,,,,258111,,,,,534,,,,,35629,,,,,388,,,,,0,,,,,,,,,,,,,,,20502,,,,,34155,,,,,8900,,,,,483,,,,,27,,,,,122,,,,,91137,,,,,0,,,,,343,,,,,8870,,,,,0,,,,,1026508,,,,,1236,,,,,23500,,,,,62617,,,,,0,,,,,4033,,,,
ORS (New WHO),2019-2020,march,41578193,,,,,9599,,,,,1870510,,,,,2075,,,,,672979,,,,,410820,,,,,,,,,,55150,,,,,314067,,,,,0,,,,,236840,,,,,,,,,,671790,,,,,70620,,,,,111065,,,,,128028,,,,,134861,,,,,0,,,,,4525,,,,,,,,,,,,,,,,,,,,2599391,,,,,10576825,,,,,0,,,,,459687,,,,,0,,,,,8960,,,,,20478639,,,,,0,,,,,46130,,,,,432086,,,,,8462,,,,,908550,,,,,16678,,,,,81161,,,,,915015,,,,,180680,,,,,173000,,,,
,2019-2020,march,2446196,,,,,2200,,,,,0,,,,,0,,,,,0,,,,,364600,,,,,,,,,,13000,,,,,1960,,,,,0,,,,,159325,,,,,,,,,,117157,,,,,0,,,,,173880,,,,,0,,,,,153039,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,165054,,,,,135000,,,,,0,,,,,0,,,,,9415,,,,,780,,,,,340140,,,,,0,,,,,0,,,,,0,,,,,210,,,,,647036,,,,,10000,,,,,121600,,,,,31800,,,,,0,,,,,,,,,
,2019-2020,march,1040709,,,,,0,,,,,779865,,,,,1000,,,,,0,,,,,43445,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,64545,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,59501,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,87320,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1929,,,,,55,,,,,0,,,,,3049,,,,,0,,,,,,,,,
,2019-2020,march,6256864,,,,,1505,,,,,264585,,,,,225,,,,,294235,,,,,80746,,,,,,,,,,3000,,,,,295512,,,,,0,,,,,107475,,,,,,,,,,186883,,,,,5300,,,,,50390,,,,,1860,,,,,132671,,,,,0,,,,,2700,,,,,,,,,,,,,,,,,,,,448469,,,,,471019,,,,,0,,,,,19370,,,,,0,,,,,200,,,,,3204075,,,,,0,,,,,9630,,,,,39200,,,,,658,,,,,525496,,,,,2400,,,,,22375,,,,,78775,,,,,8110,,,,,,,,,
,2019-2020,march,35031855,,,,,10294,,,,,1695925,,,,,850,,,,,338744,,,,,555841,,,,,,,,,,65150,,,,,20515,,,,,0,,,,,288690,,,,,,,,,,562519,,,,,65320,,,,,234555,,,,,126168,,,,,155229,,,,,0,,,,,1825,,,,,,,,,,,,,,,,,,,,2313356,,,,,8110755,,,,,0,,,,,440317,,,,,9415,,,,,9540,,,,,17527384,,,,,0,,,,,36500,,,,,0,,,,,8014,,,,,1041724,,,,,24278,,,,,180386,,,,,862991,,,,,172570,,,,,173000,,,,
RTI /STI colour coded syndromic kits ( I to VII),2019-2020,march,157158,,,,,2400,,,,,0,,,,,0,,,,,1132,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,48252,,,,,0,,,,,225,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,1875,,,,,8224,,,,,,,,,,0,,,,,0,,,,,0,,,,,32243,,,,,0,,,,,0,,,,,0,,,,,0,,,,,17695,,,,,0,,,,,0,,,,,44696,,,,,416,,,,,0,,,,
,2019-2020,march,46477,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,300,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,38872,,,,,0,,,,,0,,,,,0,,,,,0,,,,,210,,,,,0,,,,,0,,,,,7095,,,,,0,,,,,,,,,
,2019-2020,march,382,,,,,6,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,260,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,12,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,104,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,
,2019-2020,march,62328,,,,,17,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,13926,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,260,,,,,108,,,,,,,,,,0,,,,,0,,,,,0,,,,,46031,,,,,0,,,,,0,,,,,0,,,,,0,,,,,820,,,,,0,,,,,0,,,,,750,,,,,416,,,,,,,,,
,2019-2020,march,127462,,,,,2377,,,,,0,,,,,0,,,,,1132,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,34576,,,,,0,,,,,225,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,1603,,,,,8116,,,,,,,,,,0,,,,,0,,,,,0,,,,,25084,,,,,0,,,,,0,,,,,0,,,,,0,,,,,16981,,,,,0,,,,,0,,,,,37368,,,,,0,,,,,0,,,,
Zinc 20 mg tablet,2019-2020,march,88313725,,,,,5763,,,,,134738,,,,,36670,,,,,729522,,,,,761814,,,,,,,,,,55400,,,,,0,,,,,0,,,,,,,,,,55942,,,,,1949995,,,,,19000,,,,,437390,,,,,183369,,,,,1162352,,,,,199733,,,,,148478,,,,,,,,,,,,,,,,,,,,6728540,,,,,18168447,,,,,,,,,,330500,,,,,58780,,,,,16886,,,,,39450960,,,,,2657,,,,,44000,,,,,166750,,,,,1500,,,,,2701997,,,,,4586841,,,,,47700,,,,,9883478,,,,,149473,,,,,95050,,,,
,2019-2020,march,4305104,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,5000,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,,322000,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,17500,,,,,16000,,,,,,,,,,0,,,,,60120,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,300,,,,,747784,,,,,0,,,,,0,,,,,3136400,,,,,0,,,,,,,,,
,2019-2020,march,460200,,,,,7,,,,,62450,,,,,0,,,,,0,,,,,128964,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,110000,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,2100,,,,,0,,,,,,,,,,0,,,,,0,,,,,2900,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,18263,,,,,72366,,,,,0,,,,,63150,,,,,0,,,,,,,,,
,2019-2020,march,7151280,,,,,100,,,,,1500,,,,,1200,,,,,204934,,,,,93700,,,,,,,,,,39000,,,,,,,,,,0,,,,,,,,,,,,,,,96000,,,,,1000,,,,,123000,,,,,3200,,,,,437670,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,1094830,,,,,201441,,,,,,,,,,42300,,,,,10500,,,,,0,,,,,3143978,,,,,2362,,,,,21000,,,,,21100,,,,,200,,,,,929734,,,,,329931,,,,,3100,,,,,342500,,,,,7000,,,,,,,,,
,2019-2020,march,75655882,,,,,5656,,,,,133238,,,,,35470,,,,,524588,,,,,396716,,,,,,,,,,21400,,,,,0,,,,,0,,,,,,,,,,55942,,,,,1853995,,,,,18000,,,,,655670,,,,,180169,,,,,724682,,,,,199733,,,,,148478,,,,,,,,,,,,,,,,,,,,4286610,,,,,11383006,,,,,,,,,,288200,,,,,108400,,,,,13986,,,,,36306982,,,,,295,,,,,23000,,,,,0,,,,,1600,,,,,2502105,,,,,4256910,,,,,44600,,,,,11248928,,,,,142473,,,,,95050,,,,
Albendazole 400 mg tablet,2019-2020,march,26639604,,,,,22007,,,,,323939,,,,,12500,,,,,11580,,,,,98598,,,,,,,,,,137628,,,,,0,,,,,0,,,,,,,,,,200,,,,,4686958,,,,,860925,,,,,366707,,,,,71266,,,,,279117,,,,,1175840,,,,,45400,,,,,,,,,,,,,,,,,,,,1167022,,,,,5869624,,,,,1000,,,,,234040,,,,,7950,,,,,0,,,,,6388049,,,,,40954,,,,,25340,,,,,102000,,,,,3157,,,,,2444325,,,,,297731,,,,,58842,,,,,1663809,,,,,71121,,,,,171975,,,,
,2019-2020,march,5234439,,,,,11300,,,,,39700,,,,,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,3518499,,,,,0,,,,,565500,,,,,114000,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,15000,,,,,42000,,,,,0,,,,,0,,,,,0,,,,,0,,,,,304800,,,,,0,,,,,0,,,,,0,,,,,23660,,,,,429757,,,,,8400,,,,,161823,,,,,0,,,,,0,,,,,,,,,
,2019-2020,march,1044819,,,,,400,,,,,142000,,,,,1200,,,,,0,,,,,61488,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,637798,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,1000,,,,,197909,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,3024,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,
,2019-2020,march,6381608,,,,,7510,,,,,12000,,,,,300,,,,,1110,,,,,16590,,,,,,,,,,9500,,,,,,,,,,0,,,,,,,,,,0,,,,,3533199,,,,,713537,,,,,54250,,,,,96495,,,,,86000,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,122050,,,,,481766,,,,,0,,,,,1000,,,,,0,,,,,0,,,,,546300,,,,,622,,,,,25340,,,,,97000,,,,,10267,,,,,382311,,,,,5845,,,,,158796,,,,,19320,,,,,500,,,,,,,,,
,2019-2020,march,23874150,,,,,25397,,,,,351639,,,,,11000,,,,,1470,,,,,13910,,,,,,,,,,128128,,,,,0,,,,,0,,,,,,,,,,200,,,,,3819460,,,,,147388,,,,,877957,,,,,88771,,,,,193117,,,,,1175840,,,,,45400,,,,,,,,,,,,,,,,,,,,1059772,,,,,4862493,,,,,0,,,,,233040,,,,,7950,,,,,0,,,,,6146549,,,,,40332,,,,,0,,,,,5000,,,,,16550,,,,,2488747,,,,,300286,,,,,61869,,,,,1529289,,,,,70621,,,,,171975,,,,
Calcium Tablets,2019-2020,march,294805877,,,,,98280,,,,,177000,,,,,4900,,,,,21481371,,,,,11335010,,,,,,,,,,50000,,,,,0,,,,,0,,,,,0,,,,,,,,,,5594747,,,,,49300,,,,,3846325,,,,,919167,,,,,2183300,,,,,3548498,,,,,1094040,,,,,,,,,,,,,,,,,,,,5963519,,,,,170452097,,,,,,,,,,1148360,,,,,112993,,,,,104660,,,,,22135588,,,,,302147,,,,,0,,,,,230400,,,,,64858,,,,,13057094,,,,,17650803,,,,,195970,,,,,9721150,,,,,115400,,,,,3168900,,,,
,2019-2020,march,130519732,,,,,10000,,,,,0,,,,,0,,,,,0,,,,,2603800,,,,,,,,,,3000,,,,,509960,,,,,0,,,,,0,,,,,,,,,,6532754,,,,,395500,,,,,2040000,,,,,1000,,,,,0,,,,,3759,,,,,0,,,,,,,,,,,,,,,,,,,,3047700,,,,,72713190,,,,,,,,,,0,,,,,0,,,,,0,,,,,26677900,,,,,0,,,,,0,,,,,0,,,,,19920,,,,,5115669,,,,,4012850,,,,,10530,,,,,3822200,,,,,0,,,,,3000000,,,,
,2019-2020,march,11689495,,,,,0,,,,,0,,,,,1000,,,,,0,,,,,4064650,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,40000,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,400,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,6962500,,,,,0,,,,,0,,,,,0,,,,,0,,,,,166745,,,,,300000,,,,,0,,,,,154200,,,,,0,,,,,,,,,
,2019-2020,march,121901013,,,,,37401,,,,,39000,,,,,1100,,,,,7870780,,,,,1058320,,,,,,,,,,3000,,,,,153000,,,,,0,,,,,0,,,,,,,,,,6501360,,,,,160000,,,,,2078600,,,,,16740,,,,,668000,,,,,725400,,,,,273800,,,,,,,,,,,,,,,,,,,,2407191,,,,,77587713,,,,,,,,,,927860,,,,,105400,,,,,2600,,,,,7673598,,,,,17981,,,,,0,,,,,163150,,,,,35068,,,,,3069581,,,,,5158940,,,,,149530,,,,,2976900,,,,,39000,,,,,2000000,,,,
,2019-2020,march,282959411,,,,,70879,,,,,138000,,,,,2800,,,,,13611491,,,,,7926800,,,,,,,,,,50000,,,,,356960,,,,,0,,,,,0,,,,,,,,,,4810141,,,,,284800,,,,,3807725,,,,,903427,,,,,1515300,,,,,2826857,,,,,820240,,,,,,,,,,,,,,,,,,,,6533328,,,,,155917074,,,,,,,,,,220500,,,,,7593,,,,,102060,,,,,34177390,,,,,284166,,,,,0,,,,,0,,,,,49710,,,,,14936437,,,,,19204713,,,,,56970,,,,,10098750,,,,,76400,,,,,4168900,,,,
Syringes - 0.1 ml (AD),2019-2020,march,6311817,,,,,138687,,,,,667370,,,,,6120,,,,,598965,,,,,478045,,,,,21800,,,,,124480,,,,,10800,,,,,18621,,,,,79858,,,,,200,,,,,675113,,,,,118490,,,,,59395,,,,,74897,,,,,71332,,,,,325871,,,,,184780,,,,,6400,,,,,,,,,,,,,,,308765,,,,,451273,,,,,6324,,,,,36865,,,,,7984,,,,,24457,,,,,119221,,,,,30200,,,,,121550,,,,,189700,,,,,10092,,,,,504248,,,,,457170,,,,,3634,,,,,254523,,,,,39537,,,,,85050,,,,
,2019-2020,march,2964695,,,,,600,,,,,0,,,,,4800,,,,,163200,,,,,447100,,,,,0,,,,,10000,,,,,0,,,,,0,,,,,85000,,,,,18000,,,,,69000,,,,,99200,,,,,37200,,,,,60410,,,,,115850,,,,,112600,,,,,80400,,,,,0,,,,,,,,,,,,,,,194750,,,,,219600,,,,,3000,,,,,4200,,,,,3200,,,,,1500,,,,,174650,,,,,0,,,,,49000,,,,,30000,,,,,1743,,,,,316622,,,,,264000,,,,,6300,,,,,316970,,,,,17000,,,,,58800,,,,
,2019-2020,march,194447,,,,,34,,,,,111550,,,,,0,,,,,0,,,,,3200,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,9200,,,,,4600,,,,,0,,,,,7550,,,,,0,,,,,5,,,,,0,,,,,0,,,,,,,,,,,,,,,16150,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,3050,,,,,0,,,,,800,,,,,0,,,,,0,,,,,6908,,,,,0,,,,,0,,,,,31400,,,,,0,,,,,,,,,
,2019-2020,march,3241079,,,,,580,,,,,91750,,,,,4472,,,,,92765,,,,,263170,,,,,11200,,,,,50900,,,,,3200,,,,,829,,,,,52740,,,,,2000,,,,,387365,,,,,116350,,,,,36560,,,,,36717,,,,,68450,,,,,282634,,,,,108250,,,,,0,,,,,,,,,,,,,,,184990,,,,,233890,,,,,4474,,,,,25315,,,,,4558,,,,,4225,,,,,180241,,,,,5550,,,,,67690,,,,,39600,,,,,1499,,,,,211713,,,,,205800,,,,,8870,,,,,358132,,,,,8150,,,,,86450,,,,
,2019-2020,march,5840986,,,,,138673,,,,,464070,,,,,6448,,,,,669400,,,,,658775,,,,,10600,,,,,83580,,,,,7600,,,,,17792,,,,,112118,,,,,16200,,,,,347548,,,,,96740,,,,,60035,,,,,91040,,,,,118732,,,,,155832,,,,,156930,,,,,6400,,,,,,,,,,,,,,,302375,,,,,436983,,,,,4850,,,,,15750,,,,,6626,,,,,21732,,,,,110580,,,,,24650,,,,,102060,,,,,180100,,,,,10336,,,,,602249,,,,,515370,,,,,1064,,,,,181961,,,,,48387,,,,,57400,,,,
Syringes - 0.5 ml (AD),2019-2020,march,32363108,,,,,110565,,,,,550380,,,,,44063,,,,,2224391,,,,,3925949,,,,,125400,,,,,963607,,,,,15000,,,,,27342,,,,,771774,,,,,7400,,,,,1563666,,,,,679410,,,,,161324,,,,,145245,,,,,357640,,,,,1186270,,,,,215100,,,,,1600,,,,,,,,,,,,,,,2877130,,,,,2428583,,,,,50727,,,,,182745,,,,,16713,,,,,132096,,,,,926470,,,,,77916,,,,,249450,,,,,2620365,,,,,6851,,,,,4477491,,,,,2346698,,,,,57451,,,,,2436228,,,,,84558,,,,,315510,,,,
,2019-2020,march,8565754,,,,,800,,,,,140000,,,,,4000,,,,,220000,,,,,1534000,,,,,0,,,,,0,,,,,0,,,,,0,,,,,24400,,,,,70000,,,,,48000,,,,,294000,,,,,84000,,,,,95000,,,,,171400,,,,,53500,,,,,290000,,,,,0,,,,,,,,,,,,,,,294000,,,,,618700,,,,,0,,,,,37800,,,,,2800,,,,,1000,,,,,596200,,,,,0,,,,,228200,,,,,0,,,,,5500,,,,,1858054,,,,,606000,,,,,6800,,,,,1113500,,,,,28100,,,,,140000,,,,
,2019-2020,march,301164,,,,,56,,,,,83000,,,,,0,,,,,0,,,,,12700,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,6800,,,,,40900,,,,,0,,,,,3330,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,89200,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,8400,,,,,0,,,,,0,,,,,12778,,,,,0,,,,,0,,,,,44000,,,,,0,,,,,,,,,
,2019-2020,march,9744071,,,,,3844,,,,,186950,,,,,9243,,,,,364302,,,,,1060000,,,,,23200,,,,,274800,,,,,7200,,,,,1550,,,,,73820,,,,,9800,,,,,458620,,,,,387910,,,,,93120,,,,,95992,,,,,155700,,,,,176180,,,,,208285,,,,,0,,,,,,,,,,,,,,,701000,,,,,745267,,,,,15830,,,,,60150,,,,,6641,,,,,7976,,,,,1043839,,,,,11250,,,,,192730,,,,,108930,,,,,3390,,,,,860241,,,,,594222,,,,,14500,,,,,1531119,,,,,22300,,,,,234170,,,,
,2019-2020,march,30883627,,,,,107465,,,,,420430,,,,,38820,,,,,2080089,,,,,4387249,,,,,102200,,,,,688807,,,,,7800,,,,,25792,,,,,722354,,,,,67600,,,,,1146246,,,,,544600,,,,,152204,,,,,140923,,,,,373340,,,,,1063590,,,,,296815,,,,,1600,,,,,,,,,,,,,,,2380930,,,,,2302016,,,,,34897,,,,,160395,,,,,12872,,,,,125120,,,,,478831,,,,,66666,,,,,276520,,,,,2511435,,,,,8961,,,,,5462526,,,,,2358476,,,,,49751,,,,,1974609,,,,,90358,,,,,221340,,,,
Syringes - 5.0 ml (Disposable),2019-2020,march,7608218,,,,,4163,,,,,172500,,,,,4078,,,,,904223,,,,,1260343,,,,,5850,,,,,97833,,,,,650,,,,,4838,,,,,85320,,,,,5200,,,,,257119,,,,,65240,,,,,9638,,,,,90924,,,,,95941,,,,,85275,,,,,11575,,,,,10400,,,,,,,,,,,,,,,1027700,,,,,1010679,,,,,9807,,,,,46046,,,,,15993,,,,,7314,,,,,333752,,,,,5931,,,,,46160,,,,,300250,,,,,5374,,,,,869968,,,,,151032,,,,,12468,,,,,501696,,,,,32588,,,,,60350,,,,
,2019-2020,march,2016728,,,,,100,,,,,14400,,,,,800,,,,,21600,,,,,449600,,,,,0,,,,,4000,,,,,0,,,,,0,,,,,400,,,,,11000,,,,,10000,,,,,41400,,,,,4600,,,,,19900,,,,,34000,,,,,34500,,,,,11600,,,,,0,,,,,,,,,,,,,,,236800,,,,,257400,,,,,500,,,,,4900,,,,,1200,,,,,700,,,,,18500,,,,,0,,,,,16200,,,,,0,,,,,300,,,,,245048,,,,,136800,,,,,2200,,,,,413480,,,,,5600,,,,,19200,,,,
,2019-2020,march,132129,,,,,3,,,,,44170,,,,,0,,,,,0,,,,,1000,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,13000,,,,,2900,,,,,0,,,,,3350,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,57200,,,,,0,,,,,0,,,,,600,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1306,,,,,0,,,,,0,,,,,8600,,,,,0,,,,,,,,,
,2019-2020,march,1578092,,,,,119,,,,,31770,,,,,750,,,,,113524,,,,,136800,,,,,2050,,,,,34800,,,,,300,,,,,176,,,,,4367,,,,,700,,,,,51980,,,,,45600,,,,,6310,,,,,12414,,,,,28087,,,,,13836,,,,,16510,,,,,0,,,,,,,,,,,,,,,254200,,,,,185226,,,,,1278,,,,,7317,,,,,1733,,,,,1252,,,,,71975,,,,,300,,,,,15620,,,,,18900,,,,,386,,,,,152003,,,,,89900,,,,,3305,,,,,231132,,,,,3302,,,,,40170,,,,
,2019-2020,march,7914725,,,,,4141,,,,,110960,,,,,4128,,,,,812299,,,,,1572143,,,,,3800,,,,,67033,,,,,350,,,,,4662,,,,,81353,,,,,15500,,,,,202139,,,,,58140,,,,,7928,,,,,95060,,,,,101854,,,,,105939,,,,,6665,,,,,10400,,,,,,,,,,,,,,,953100,,,,,1082853,,,,,9029,,,,,43029,,,,,15460,,,,,6762,,,,,280277,,,,,5631,,,,,46740,,,,,281350,,,,,5288,,,,,961707,,,,,197932,,,,,11363,,,,,675444,,,,,34886,,,,,39380,,,,
Number of newborn screened for defects at birth (as per RBSK),2019-2020,march,380259,,,,,0,,,,,12510,,,,,97,,,,,15114,,,,,6265,,,,,1980,,,,,162,,,,,449,,,,,196,,,,,,,,,,1175,,,,,38216,,,,,19269,,,,,3073,,,,,3386,,,,,16354,,,,,4038,,,,,3382,,,,,,,,,,,,,,,,,,,,15643,,,,,23949,,,,,1311,,,,,5227,,,,,696,,,,,125,,,,,25654,,,,,160,,,,,10719,,,,,4616,,,,,52,,,,,26262,,,,,3587,,,,,2151,,,,,112705,,,,,1523,,,,,20213,,,,
Number of children (6 month to 6 years) screened by RBSK mobile health teams at Anganwadi center,2019-2020,march,4978162,,,,,136,,,,,225730,,,,,3647,,,,,99022,,,,,75650,,,,,3447,,,,,84342,,,,,576,,,,,1038,,,,,,,,,,12710,,,,,533481,,,,,170929,,,,,21061,,,,,29365,,,,,100883,,,,,283278,,,,,35889,,,,,,,,,,,,,,,,,,,,109057,,,,,969639,,,,,2484,,,,,23896,,,,,5434,,,,,7200,,,,,262448,,,,,1800,,,,,82198,,,,,39855,,,,,15,,,,,323988,,,,,243045,,,,,15151,,,,,932801,,,,,33654,,,,,244313,,,,
Number of children (6 years to 18 years) screened by RBSK mobile health teams at Govt and Govt aided schools,2019-2020,march,4025470,,,,,0,,,,,118026,,,,,8092,,,,,143643,,,,,29265,,,,,3054,,,,,61439,,,,,2335,,,,,628,,,,,,,,,,11521,,,,,358676,,,,,8488,,,,,2963,,,,,25054,,,,,122864,,,,,149972,,,,,22210,,,,,,,,,,,,,,,,,,,,103337,,,,,1138147,,,,,3486,,,,,32097,,,,,1021,,,,,5168,,,,,377260,,,,,1120,,,,,25978,,,,,70536,,,,,563,,,,,428549,,,,,61900,,,,,1149,,,,,388543,,,,,8867,,,,,309519,,,,
